Date,index50,index300
2015/1/5,2649.639,3641.541
2015/1/6,2629.402,3641.059
2015/1/7,2635.231,3643.79
2015/1/8,2558.107,3559.259
2015/1/9,2569.019,3546.723
2015/1/12,2543.852,3513.576
2015/1/13,2527.828,3514.04
2015/1/14,2534.23,3502.423
2015/1/15,2632.89,3604.121
2015/1/16,2653.034,3635.146
2015/1/19,2410.201,3355.155
2015/1/20,2403.724,3396.222
2015/1/21,2542.318,3548.885
2015/1/22,2544.308,3567.613
2015/1/23,2564.514,3571.732
2015/1/26,2562.363,3607.985
2015/1/27,2522.103,3574.931
2015/1/28,2486.285,3525.323
2015/1/29,2442.038,3481.798
2015/1/30,2405.38,3434.39
2015/2/2,2332.533,3353.96
2015/2/3,2405.76,3437.445
2015/2/4,2372.455,3401.768
2015/2/5,2348.921,3366.946
2015/2/6,2325.241,3312.42
2015/2/9,2366.766,3345.921
2015/2/10,2403.548,3406.943
2015/2/11,2415.128,3434.124
2015/2/12,2416.449,3442.874
2015/2/13,2427.474,3469.828
2015/2/16,2431.21,3499.483
2015/2/17,2445.26,3522.322
2015/2/25,2407.457,3478.729
2015/2/26,2478.061,3566.295
2015/2/27,2474.595,3572.843
2015/3/2,2479.237,3601.265
2015/3/3,2396.805,3507.9
2015/3/4,2397.993,3530.822
2015/3/5,2366.899,3496.344
2015/3/6,2371.623,3478.52
2015/3/9,2429.867,3537.75
2015/3/10,2395.428,3520.611
2015/3/11,2408.503,3524.653
2015/3/12,2485.114,3592.844
2015/3/13,2495.277,3617.657
2015/3/16,2550.861,3705.671
2015/3/17,2583.198,3757.122
2015/3/18,2649.642,3846.055
2015/3/19,2630.243,3839.739
2015/3/20,2680.679,3892.574
2015/3/23,2720.671,3972.061
2015/3/24,2683.647,3973.046
2015/3/25,2649.161,3940.412
2015/3/26,2687.762,3949.999
2015/3/27,2689.24,3971.697
2015/3/30,2784.456,4088.178
2015/3/31,2754.658,4051.204
2015/4/1,2799.451,4123.895
2015/4/2,2781.641,4124.776
2015/4/3,2817.181,4170.538
2015/4/7,2889.452,4260.044
2015/4/8,2952.079,4295.803
2015/4/9,2931.772,4262.138
2015/4/10,2986.605,4344.416
2015/4/13,3041.125,4421.073
2015/4/14,3052.407,4438.184
2015/4/15,3053.304,4380.513
2015/4/16,3183.302,4513.546
2015/4/17,3235.332,4596.136
2015/4/20,3164.461,4521.919
2015/4/21,3214.364,4619.164
2015/4/22,3299.221,4739.814
2015/4/23,3273.398,4740.892
2015/4/24,3223.958,4702.641
2015/4/27,3308.454,4807.592
2015/4/28,3282.33,4741.861
2015/4/29,3283.282,4774.326
2015/4/30,3250.49,4749.886
2015/5/4,3272.005,4787.741
2015/5/5,3148.813,4596.837
2015/5/6,3139.02,4553.327
2015/5/7,3094.883,4470.089
2015/5/8,3110.455,4558.404
2015/5/11,3169.134,4690.532
2015/5/12,3188.313,4747.421
2015/5/13,3141.296,4718.436
2015/5/14,3128.572,4700.778
2015/5/15,3060.411,4617.47
2015/5/18,2998.389,4575.14
2015/5/19,3116.086,4731.222
2015/5/20,3122.85,4754.919
2015/5/21,3150.901,4840.976
2015/5/22,3248.855,4951.335
2015/5/25,3349.945,5099.495
2015/5/26,3386.593,5198.918
2015/5/27,3344.738,5181.434
2015/5/28,3124.621,4834.007
2015/5/29,3111.334,4840.829
2015/6/1,3244.319,5076.179
2015/6/2,3258.31,5161.87
2015/6/3,3238.428,5143.59
2015/6/4,3299.03,5181.416
2015/6/5,3303.988,5230.552
2015/6/8,3458.707,5353.751
2015/6/9,3413.996,5317.461
2015/6/10,3370.383,5309.112
2015/6/11,3347.116,5306.59
2015/6/12,3350.248,5335.115
2015/6/15,3262.479,5221.167
2015/6/16,3179.652,5064.821
2015/6/17,3211.707,5138.831
2015/6/18,3068.488,4930.549
2015/6/19,2903.057,4637.052
2015/6/23,3003.163,4786.091
2015/6/24,3045.244,4880.126
2015/6/25,2943.99,4706.516
2015/6/26,2736.695,4336.195
2015/6/29,2678.368,4191.549
2015/6/30,2870.025,4472.998
2015/7/1,2736.847,4253.021
2015/7/2,2714.247,4107.996
2015/7/3,2582.266,3885.917
2015/7/6,2749.998,3998.537
2015/7/7,2812.446,3928.003
2015/7/8,2608.977,3663.038
2015/7/9,2781.077,3897.626
2015/7/10,2898.41,4106.556
2015/7/13,2869.051,4211.812
2015/7/14,2763.073,4112.149
2015/7/15,2757.951,3966.759
2015/7/16,2742.847,3997.356
2015/7/17,2807.065,4151.496
2015/7/20,2783.761,4160.612
2015/7/21,2772.774,4166.006
2015/7/22,2739.786,4157.16
2015/7/23,2790.764,4250.805
2015/7/24,2741.044,4176.279
2015/7/27,2493.29,3818.731
2015/7/28,2485.674,3811.093
2015/7/29,2531.445,3930.379
2015/7/30,2467.367,3815.412
